domain,title,description,pubDate,cat,link
보안뉴스,"[1.28 보안 이슈투데이] 이모텟, 넷워커 랜섬웨어, 반암호화 기조","국제 공조로 이모텟 봇넷 무력화 돼...지금 상태로서는 아무런 위협 되지 못해넷워커 랜섬웨어 역시... 하나는 이모텟 인프라를 공격 불능 상태로 만든 것이고, 다른 하나는 넷워커 랜섬웨어를 일부 마비시킨... ",2021-01-28 10:15:00,랜섬,http://www.boannews.com/media/view.asp?idx=94491&kind=
보안뉴스,"거대 패키징 기업 웨스트록, 랜섬웨어에 당해 운영 중단돼",이렇게 된 이유는 다름 아니라 랜섬웨어. OT 보안의 중요성이 다시 한 번 강조되는 사건이다.[보안뉴스 ]... 하지만 이익 손실은 이미 대량 발생 중이다.현재 사건을 일으킨 멀웨어는 랜섬웨어로 알려져 있다. 보안... ,2021-01-27 18:44:00,랜섬,http://www.boannews.com/media/view.asp?idx=94468&kind=
IT 조선 - 기술로 세상을 바꾸는 사람들의 놀이터,정부發 5G MEC 활성화에 보안업계 기대감 증폭,"5G를 비롯해 엣지 컴퓨팅을 도입하는 기업이 늘어날수록 보안 취약점을 보완해야 할 필요성이 크기 때문이다. 엣지 컴퓨팅은 작업을 수행하는 기기가 늘어나므로, 해커들이 공격할 수 있는 표면 역시 확장된다. 즉... ",2021-01-29 06:04:00,보안 취약점,http://it.chosun.com/site/data/html_dir/2021/01/28/2021012802783.html
"비즈니스, 테크놀로지, 리더십 - CIO Korea","실제 악용됐을 수도··· 애플, 취약점 수정한 iOS 14.4 정식 배포",커널과 웹킷의 보안 취약점들을 수정했다는 설명이다. 26일(현지시간) 애플 공식 홈페이지에 따르면 이번 버전에서는 1개의 커널 취약점과 2개의 웹킷 취약점이 수정됐다. ⓒApple 커널에 취약점이 있을 경우... ,2021-01-27 17:35:00,보안 취약점,http://www.ciokorea.com/news/180849
LA ì¤‘ì•™ì�¼ë³´ â€“ ë¯¸ì£¼ ìµœëŒ€ í•œì�¸ ë‰´ìŠ¤ ë¯¸ë””ì–´,애플 제품 업데이트 필요…보안 결함 3가지 발견돼,"한편, 지난해 4월 아이폰과 아이패드 등에 설치된 기본 애플리케이션(앱)인 ‘메일 앱’(Mail App)에서 보안 취약점이 발견되면서 수년간 5억여대의 아이폰이 해킹 위험에 노출됐을 가능성도 제기된 바 있다.",2021-01-28 13:48:00,보안 취약점,http://www.koreadaily.com/news/read.asp?art_id=9045352
보안뉴스,양자암호통신·비대면 서비스 보안 등 ‘K-사이버 방역’ 주요 과제 추진한다,"오는 4월부터 신청기업을 모집해 12월까지 지원할 예정이며, 컨설팅을 통해 보안 취약점을 발견하고, 이를 제거하기 위한 솔루션 도입을 지원한다.KISA 이중구 센터장은 “코로나19 확산으로 중소·영세기업도 비대면... ",2021-01-28 17:50:00,보안 취약점,http://www.boannews.com/media/view.asp?idx=94503&kind=
연합뉴스,"각종범죄 악용…전세계 괴롭힌 악성코드 이모텟,국제수사로 척결",트로이목마는 기기의 보안 취약점을 파고들어 이용자 권한을 탈취한 뒤 응용 프로그램을 몰래 설치해 개인 정보를 빼돌리는 등 피해를 준다. 주로 이메일 첨부파일 형태로 기기에 침투하는 이모텟은 전 세계적으로... ,2021-01-28 10:18:00,보안 취약점,http://yna.kr/AKR20210128061700009?did=1195m
디센터 Decenter,[노기자의 잠든사이에 일어난 일] 비트코인 3만 달러 재시험···미국 증시에...,아이폰에서 암호화폐 지갑 해킹 가능성이 있는 보안 취약점이 발견됐다고 하는데요. 이에 따라 애플은 아이폰과 아이패드에 적용하는 운영체제를 iOS14.4로 업데이트했습니다. 애플의 공식 발표에는 보안 문제라고 나와... ,2021-01-28 08:05:00,보안 취약점,https://decenter.kr/NewsView/22HFIGE3B5
Bloter.net | 블로터,"[99뉴스]내 페북 폰번호, 텔레그램에서 팔린다!..삼성·네이버도 5G망 구축",2019년 8월 해결된 페이스북 보안 취약점으로 인해 데이터가 유출된 것으로 추정된다. &lt;엔가젯&gt;은 “전화번호가 2019년 8월 이전 페이스북 데이터베이스에 연결돼 있었다면 세부정보가 판매될 수 있음을 의미한다”며... ,2021-01-27 17:09:00,보안 취약점,http://www.bloter.net/archives/518120
보안뉴스,리눅스의 유명 유틸리티에서 10년 된 취약점 패치돼,리눅스 생태계에서 10년 동안 한 번도 발표되지 않았던 취약점이 이번 주 발견됐다. 로컬 사용자의 권한을... 아쉽게도 패치 외에는 이 문제를 해결할 방법이 없다고 한다.[보안뉴스 ] 유닉스와 리눅스 기반 OS에서 널리... ,2021-01-28 16:04:00,리눅스,http://www.boannews.com/media/view.asp?idx=94501&kind=
