domain,title,description,pubDate,cat,link
아이티데일리,"클라우드그램, 연암공대 전사 인프라 클라우드 전환 프로젝트 수주", '엔터프라이즈 클라우드 전문그룹'인 클라우드그램(대표 이주완)은 연암공과대학교(총장 안승권)의 전체 IT인프라의 클라우드 전환 프로젝트를 수주했다고 29일 밝혔다. 이번 프로젝트는 국내 최초 대학교 클라우드... ,2021-01-30 21:35:00,클라우드,https://www.itdaily.kr/news/articleView.html?idxno=201657
보안뉴스,"동해시, 전 직원 대상 개인정보보호 자가학습시스템 운영",고석민 행정과장은 “개인정보를 취급하는 전 직원에 대한 자가학습시스템을 운영해 개인정보보호의 인식을 제고해 개인정보 유출 사고를 사전에 방지하겠다”고 밝혔다.[()]www.boannews.com) 무단전재-재배포금지&gt;,2021-01-30 21:01:00,정보유출,http://www.boannews.com/media/view.asp?idx=94559&kind=
로이슈,"동서발전, 최첨단 지능형 클라우드 통합 데이터센터 조성",‘지능형 클라우드 통합 데이터센터’ 구축에 나섰다. 동서발전은 올해 ‘소프트웨어 정의 데이터센터(SDDC)’ 기술을 적용한 지능형 클라우드 데이터센터를 조성한다고 30일 밝혔다. 이번 사업은 회사가 보유한 ICT... ,2021-01-30 16:52:00,클라우드,http://www.lawissue.co.kr/view.php?ud=202101301650262259f4ab64559d_12
디지털투데이 (DigitalToday),"구글, VM매니저 공개...클라우드 워크로드 관리 자동화",구글이 클라우드 워크로드 관리를 자동화시켜주는 툴인 VM매니저를 공개했다. [사진: 구글] 구글이 자사 클라우드 컴퓨팅 서비스 기반 가상머신(VM)들에서 돌아가는 대규모 클라우드 워크로드 관리를 간소화시켜주는... ,2021-01-30 10:18:00,클라우드,http://www.digitaltoday.co.kr/news/articleView.html?idxno=262458
인더스트리뉴스,"동서발전, 최첨단 지능형 클라우드 통합 데이터센터 조성","위해 '지능형 클라우드 통합 데이터센터' 구축에 나섰다. 동서발전은 올해 '소프트웨어 정의 데이터센터(Software-Defined Data Center, SDDC)' 기술을 적용한 지능형 클라우드 데이터센터를 조성한다고 지난 1월 29일 밝혔다.... ",2021-01-30 10:02:00,클라우드,http://www.industrynews.co.kr/news/articleView.html?idxno=41216
디지털투데이 (DigitalToday),"팔로알토 네트웍스, 클라우드 보안 솔루션 '프리즈마' 업데이트",팔로알토 네트웍스 팔로알토 네트웍스가 클라우드 보안 솔루션인 프리즈마 클라우를 업데이트했다. 이번 업데이트를 통해 팔로알토는 기업들이 클라우드 기반 환경을 보호하는데 보다 많은 옵션을... ,2021-01-30 09:50:00,클라우드,http://www.digitaltoday.co.kr/news/articleView.html?idxno=262457
싱글리스트,"더보이즈 제이콥, 자작곡 'I BELONG' 사운드클라우드서 공개","더보이즈 멤버 제이콥이 30일 0시, 온라인 음악플랫폼 사운드클라우드를 통해 첫 솔로곡 '아이 빌롱(I BELONG)'을 발표했다. 더보이즈는 지난해 12월부터 온라인 음악플랫폼 사운드클라우드를 통해 정규 음원 외 비정규... ",2021-01-30 09:07:00,클라우드,http://www.slist.kr/news/articleView.html?idxno=222697
디지털투데이 (DigitalToday),"엔비디아 클라우드 게임, 윈도·맥OS 크롬 브라우저로도 이용 가능",지포스나우 클라우드 게임 서비스. 엔비디아가 자사 클라우드 게임 서비스 엔비디아 지포스나우에 대한 웹 지원을 강화하고 있다. 지난해 4월 처음으로 크롬북용 브라우저 기반 클라이언트를 선보인 엔비디아는 11월... ,2021-01-30 09:07:00,클라우드,http://www.digitaltoday.co.kr/news/articleView.html?idxno=262455
SBS 뉴스,"ID는 학교명, 비번은 전화번호?…개인정보 '우수수'",그런데 여기 접속하는 아이디와 비밀번호가 너무 쉽게 설정돼 있어서 개인정보 유출이 우려됩니다. TJB 조혜원 기자의 보도입니다. &lt;기자&gt; 전국 1천여 곳 초등학교와 3천500여 곳 어린이집에서 이용하는 학생 등하교... ,2021-01-30 07:53:00,정보유출,https://news.sbs.co.kr/news/endPage.do?news_id=N1006190909&plink=ORI&cooper=NAVER
ë§¤ì�¼ì•ˆì „ì‹ ë¬¸,"데이터복구 전문 '예스컴' 소디노키비, 클롭 랜섬웨어복구 대행 비용 무료",데이터복구 전문업체 '예스컴'에서는 최근 개인 및 기업의 랜섬웨어 피해가 급증함에 따라 소비자들의... 특히 코로나19로 재택 근무가 증가하면서 일시적으로 보안이 취약해진 틈을 타 랜섬웨어 관련 범죄가 대폭... ,2021-01-29 18:45:00,랜섬,http://www.idsn.co.kr/news/articleView.html?idxno=40144
인사이드비나,"빈그룹, 비번없이 인증 클라우드 서비스 'VinCSS' 출시",VinCSS는 사설클라우드 서비스로 내부적으로 고객에 제공되어 배포시간을 단축하고 관리를 단순화하며... 필요없는 클라우드 서비스인 'VinCSS FIDO2 Cloud 서비스(VinCSS)'를 출시했다. VinCSS는 FIDO2 표준 및 시스템... ,2021-01-29 17:38:00,클라우드,http://www.insidevina.com/news/articleView.html?idxno=15538
데이터넷,"클라우드그램, 연암공과대 IT 인프라 클라우드 전환 프로젝트 수주", 엔터프라이즈 클라우드 전문 그룹 클라우드그램(대표 이주완)은 연암공과대학교(총장 안승권)의 전체 IT 인프라 클라우드 전환 프로젝트를 수주했다고 29일 밝혔다. 연암공과대학교는 LG연암학원이 설립·지원하는... ,2021-01-29 16:52:00,클라우드,http://www.datanet.co.kr/news/articleView.html?idxno=155663
뉴스락,카카오톡 신기능 '카톡 멀티프로필' 등장...개인 정보 유출 우려에 사용 망설...,"국내 최대 이용자 수를 보유하고 있는 카카오톡 메신저에 멀티프로필 기능이 도입된 가운데, 일부 이용자들은 개인정보 유출에 대한 우려를 표했다. 29일 업계에 따르면 지난 28일 카카오톡은 메신저 이용 시 여러 개의... ",2021-01-29 16:15:00,정보유출,http://www.newslock.co.kr/news/articleView.html?idxno=35844
 헤럴드경제,‘수사정보 유출 혐의’ 신광열·조의연·성창호 판사 항소심도 무죄,법원행정처로 유출한 혐의로 기소됐다. 부장판사 출신의 최유정 변호사가 네이처리퍼블릭 대표 정운호 씨의... 영장전담 판사가 다루는 수사기밀 내용도 언론에 이미 보도된 부분은 유출이 금지되는 기밀이 될 수 없다는... ,2021-01-29 15:00:00,정보유출,http://news.heraldcorp.com/view.php?ud=20210129000696
뉴스핌 - 뉴스핌,"[1보] '수사정보 유출' 법관들, 2심서도 무죄…공무상 비밀누설 아냐","자세한 뉴스는 곧 전해드리겠습니다. 신광렬 전 서울중앙지법 형사수석부장판사(좌), 성창호(가운데)·조의연(우) 전 서울중앙지법 영장전담 부장판사 [사진=뉴스핌 DB]",2021-01-29 14:12:00,정보유출,http://www.newspim.com/news/view/20210129000662
OSEN,"외국인 선수도 개명, 한화 킹엄→킹험…제2의 해커될까",외국인 선수가 등록명을 바꾼 케이스로는 NC에서 활약한 투수 에릭 해커가 있다. 해커는 2013년 NC 유니폼을 입고 데뷔할 때 성 대신 이름 ‘에릭’을 등록명으로 썼다. 당시 창단 첫 해였던 NC는 외국인 투수 3인방... ,2021-01-29 14:03:00,해커,http://www.osen.co.kr/article/G1111514074
5개국어 글로벌 경제신문,"네이버, 핀테크·클라우드 등 신규사업도 탄탄··· 목표가 22%↑ [SK증권...","com SK증권은 29일 네이버에 대해 검색 플랫폼, 콘텐츠 등 기존 사업은 물론 핀테크, 클라우드 등 신규사업... 6% 증가하며 실적을 견인했다&quot;며 &quot;콘텐츠, 클라우드 수요 확대에 따른 클라우드 부문도 고성장하는 등 전... ",2021-01-29 08:17:00,클라우드,http://www.ajunews.com/view/20210129081220453
IT 조선 - 기술로 세상을 바꾸는 사람들의 놀이터,정부發 5G MEC 활성화에 보안업계 기대감 증폭,"5G를 비롯해 엣지 컴퓨팅을 도입하는 기업이 늘어날수록 보안 취약점을 보완해야 할 필요성이 크기 때문이다. 엣지 컴퓨팅은 작업을 수행하는 기기가 늘어나므로, 해커들이 공격할 수 있는 표면 역시 확장된다. 즉... ",2021-01-29 06:04:00,보안 취약점,http://it.chosun.com/site/data/html_dir/2021/01/28/2021012802783.html
